"Negara,T.2014,T.2015,T.2016,T.2017,T.2018,T.2019,T.2020,T.2021,T.2022,T.2023"
"Jepang,41234.3,41240.2,35351.9,29503,30364.2,25587.8,23471.6,27297,18813.5,15316.8"
"Singapura,7725.9,9212.9,7099.4,7178,7814.1,8717.1,5212.9,5377,6573.2,5522.3"
"Malaysia,29136.7,38376.9,39061.5,41394.1,37321.7,34663.1,36186,29180.7,26117.3,22690.9"
"India,14434.3,19303,11574,8291,2236.6,12578.5,19998,22109.6,43596.9,23811.3"
"Mesir,15712.9,20854.2,21142.7,24039.6,29307.8,34285,32536.7,48521.3,37428.4,32047.8"
"Maroko,10418.7,11069.1,9778.1,11072.4,11075.1,9663.9,9603.7,12164.1,9230.4,6633.2"
"Aljazair,10590.6,16911.6,9885,19022.9,5007.9,4872.6,5919.6,3918.1,13142.5,5291.4"
"Amerika Serikat,58308.5,65481.4,67309.2,63237.6,52083.5,58666.2,54473.7,57694,55810.2,36625.6"
"Inggris,14349.2,21052.6,18355.9,21937.5,7555.1,18923.5,21349.5,12259.5,20778,4339"
"Jerman,37976.7,47662.4,42628.4,44739.6,13082.6,18451.4,21321.9,13334.9,36976.4,9460.4"
"Italia,29745.5,43048.3,35819.8,38102.9,27929.5,35452.2,27237.5,24590,24006.2,18122"
"Rumania,397.9,492.6,282,1207.8,1076,1140,585.6,509.4,340,372.7"
"Georgia,10277.1,12167.5,11228.2,11706.5,10746,12229.6,12748,13398,15902.6,11536.4"
"Belgia,14341.9,5541.8,12152.8,13156.2,6207,16259.6,14758.1,14434,22179.8,3430.9"
"Belanda,1704.2,3442.1,6402.8,2915,1631.5,1604.2,1490.8,2243.6,3598,3795"
"Denmark,342.8,269.3,248.7,57.2,62.6,38.2,75.5,41.3,19.3,71"
"Perancis,6269.4,13017.8,7657.6,2415.7,265.8,2945.3,4376.4,5993.5,874.7,644.6"
